2017/11/08 19:41:11 [INFO] Terraform version: 0.10.0  2041053ee9444fa8175a298093b55a89586a1823
2017/11/08 19:41:11 [INFO] Go runtime version: go1.8
2017/11/08 19:41:11 [INFO] CLI args: []string{"/Users/heguimin/Projects/go/bin/terraform", "plan"}
2017/11/08 19:41:11 [DEBUG] Attempting to open CLI config file: /Users/heguimin/.terraformrc
2017/11/08 19:41:11 [DEBUG] File doesn't exist, but doesn't need to. Ignoring.
2017/11/08 19:41:11 [INFO] CLI command args: []string{"plan"}
2017/11/08 19:41:11 [INFO] command: empty terraform config, returning nil
2017/11/08 19:41:11 [DEBUG] command: no data state file found for backend config
2017/11/08 19:41:11 [DEBUG] New state was assigned lineage "cf6c2c79-da72-4be6-84c7-9a4b939492b5"
2017/11/08 19:41:11 [INFO] command: backend initialized: <nil>
2017/11/08 19:41:11 [DEBUG] skipping "provider-test", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-tls", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-triton", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-ultradns", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-vcd", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-vsphere", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-chef", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-file", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-local-exec", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-remote-exec", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "putObjectAcl", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "pycharm-community-2017.1.2.dmg", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "scripts", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "stringer", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "terraform", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "terraform-0.7.12", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "terraform-9", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "terraform-provider", not a provider
2017/11/08 19:41:11 [WARNING] found legacy provider "terraform-provider-alicloud"
2017/11/08 19:41:11 [WARNING] found legacy provider "terraform-provider-alicloud.old"
2017/11/08 19:41:11 [WARNING] found legacy provider "terraform-provider-alicloud_darwin-amd64.tgz"
2017/11/08 19:41:11 [DEBUG] skipping "terraform_0.10.0_darwin_amd64.zip", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "terraform_0.9.11_darwin_amd64.zip", not a provider
2017/11/08 19:41:11 [DEBUG] found valid plugin: "alicloud_darwin-amd64.tgz"
2017/11/08 19:41:11 [DEBUG] found valid plugin: "alicloud"
2017/11/08 19:41:11 [DEBUG] found valid plugin: "alicloud.old"
2017/11/08 19:41:11 [DEBUG] checking for provisioner in "."
2017/11/08 19:41:11 [DEBUG] skipping "main.tf", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform.log", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "variables.tf", not a provisioner
2017/11/08 19:41:11 [DEBUG] checking for provisioner in "/Users/heguimin/Projects/go/bin"
2017/11/08 19:41:11 [DEBUG] skipping ".DS_Store", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "basic", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "bin 2", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "errcheck", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "go-getter", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "govendor", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "jpgo", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "mockingClientsForTests", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "packer", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "packer-bak", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "packer-builder-alicloud-ecs", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "packer_1.0.0_darwin_amd64.zip", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-archive", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-atlas", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-aws", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-azure", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-azurerm", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-bitbucket", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-chef", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-clc", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-cloudflare", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-cloudstack", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-cobbler", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-consul", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-datadog", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-digitalocean", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-dme", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-dnsimple", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-docker", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-dyn", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-fastly", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-github", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-google", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-grafana", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-heroku", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-influxdb", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-librato", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-logentries", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-mailgun", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-mysql", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-null", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-openstack", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-packet", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-pagerduty", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-postgresql", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-powerdns", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-random", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-rundeck", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-scaleway", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-softlayer", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-statuscake", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-template", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-terraform", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-test", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-tls", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-triton", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-ultradns", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-vcd", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provider-vsphere", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-chef", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-file", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-local-exec", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "provisioner-remote-exec", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "putObjectAcl", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "pycharm-community-2017.1.2.dmg", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "scripts", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "stringer", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform-0.7.12", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform-9", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform-provider", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform-provider-alicloud", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform-provider-alicloud.old", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform-provider-alicloud_darwin-amd64.tgz", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform_0.10.0_darwin_amd64.zip", not a provisioner
2017/11/08 19:41:11 [DEBUG] skipping "terraform_0.9.11_darwin_amd64.zip", not a provisioner
2017/11/08 19:41:11 [INFO] Failed to read plugin lock file .terraform/plugins/darwin_amd64/lock.json: open .terraform/plugins/darwin_amd64/lock.json: no such file or directory
2017/11/08 19:41:11 [INFO] command: backend <nil> is not enhanced, wrapping in local
2017/11/08 19:41:11 [INFO] backend/local: starting Plan operation
2017/11/08 19:41:11 [DEBUG] New state was assigned lineage "1cc5d347-663c-492c-acbf-3d1f904fde85"
2017/11/08 19:41:11 [DEBUG] plugin: waiting for all plugin processes to complete...
2017/11/08 19:41:15 [INFO] Terraform version: 0.10.0  2041053ee9444fa8175a298093b55a89586a1823
2017/11/08 19:41:15 [INFO] Go runtime version: go1.8
2017/11/08 19:41:15 [INFO] CLI args: []string{"/Users/heguimin/Projects/go/bin/terraform", "init"}
2017/11/08 19:41:15 [DEBUG] Attempting to open CLI config file: /Users/heguimin/.terraformrc
2017/11/08 19:41:15 [DEBUG] File doesn't exist, but doesn't need to. Ignoring.
2017/11/08 19:41:15 [INFO] CLI command args: []string{"init"}
2017/11/08 19:41:15 [DEBUG] command: loading backend config file: /Users/heguimin/Projects/gitlab/cloudfoundry/bosh-alicloud-cpi-release-alibaba/ci/assets/terraform
2017/11/08 19:41:15 [INFO] command: empty terraform config, returning nil
2017/11/08 19:41:15 [DEBUG] command: no data state file found for backend config
2017/11/08 19:41:15 [DEBUG] New state was assigned lineage "9a6a16e6-22dd-443e-b67b-8f9e6e857450"
2017/11/08 19:41:15 [INFO] command: backend initialized: <nil>
2017/11/08 19:41:15 [DEBUG] checking for provider in "."
2017/11/08 19:41:15 [DEBUG] skipping "main.tf", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "terraform.log", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "variables.tf", not a provider
2017/11/08 19:41:15 [DEBUG] checking for provider in "/Users/heguimin/Projects/go/bin"
2017/11/08 19:41:15 [DEBUG] skipping ".DS_Store", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "basic", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "bin 2", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "errcheck", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "go-getter", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "govendor", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "jpgo", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "mockingClientsForTests", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "packer", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "packer-bak", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "packer-builder-alicloud-ecs", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "packer_1.0.0_darwin_amd64.zip", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-archive", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-atlas", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-aws", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-azure", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-azurerm", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-bitbucket", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-chef", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-clc", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-cloudflare", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-cloudstack", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-cobbler", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-consul", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-datadog", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-digitalocean", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-dme", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-dnsimple", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-docker", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-dyn", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-fastly", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-github", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-google", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-grafana", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-heroku", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-influxdb", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-librato", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-logentries", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-mailgun", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-mysql", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-null", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-openstack", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-packet", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-pagerduty", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-postgresql", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-powerdns", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-random", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-rundeck", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-scaleway", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-softlayer", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-statuscake", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-template", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-terraform", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-test", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-tls", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-triton", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-ultradns", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-vcd", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provider-vsphere", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-chef", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-file", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-local-exec", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-remote-exec", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "putObjectAcl", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "pycharm-community-2017.1.2.dmg", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "scripts", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "stringer", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "terraform", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "terraform-0.7.12", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "terraform-9", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "terraform-provider", not a provider
2017/11/08 19:41:15 [WARNING] found legacy provider "terraform-provider-alicloud"
2017/11/08 19:41:15 [WARNING] found legacy provider "terraform-provider-alicloud.old"
2017/11/08 19:41:15 [WARNING] found legacy provider "terraform-provider-alicloud_darwin-amd64.tgz"
2017/11/08 19:41:15 [DEBUG] skipping "terraform_0.10.0_darwin_amd64.zip", not a provider
2017/11/08 19:41:15 [DEBUG] skipping "terraform_0.9.11_darwin_amd64.zip", not a provider
2017/11/08 19:41:15 [DEBUG] found valid plugin: "alicloud"
2017/11/08 19:41:15 [DEBUG] found valid plugin: "alicloud.old"
2017/11/08 19:41:15 [DEBUG] found valid plugin: "alicloud_darwin-amd64.tgz"
2017/11/08 19:41:15 [DEBUG] checking for provisioner in "."
2017/11/08 19:41:15 [DEBUG] skipping "main.tf", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform.log", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "variables.tf", not a provisioner
2017/11/08 19:41:15 [DEBUG] checking for provisioner in "/Users/heguimin/Projects/go/bin"
2017/11/08 19:41:15 [DEBUG] skipping ".DS_Store", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "basic", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "bin 2", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "errcheck", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "go-getter", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "govendor", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "jpgo", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "mockingClientsForTests", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "packer", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "packer-bak", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "packer-builder-alicloud-ecs", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "packer_1.0.0_darwin_amd64.zip", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-archive", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-atlas", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-aws", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-azure", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-azurerm", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-bitbucket", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-chef", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-clc", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-cloudflare", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-cloudstack", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-cobbler", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-consul", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-datadog", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-digitalocean", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-dme", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-dnsimple", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-docker", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-dyn", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-fastly", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-github", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-google", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-grafana", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-heroku", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-influxdb", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-librato", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-logentries", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-mailgun", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-mysql", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-null", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-openstack", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-packet", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-pagerduty", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-postgresql", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-powerdns", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-random", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-rundeck", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-scaleway", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-softlayer", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-statuscake", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-template", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-terraform", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-test", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-tls", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-triton", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-ultradns", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-vcd", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provider-vsphere", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-chef", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-file", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-local-exec", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "provisioner-remote-exec", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "putObjectAcl", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "pycharm-community-2017.1.2.dmg", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "scripts", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "stringer", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform-0.7.12", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform-9", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform-provider", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform-provider-alicloud", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform-provider-alicloud.old", not a provisioner
2017/11/08 19:41:15 [DEBUG] skipping "terraform-provider-alicloud_darwin-amd64.tgz", not a provisioner
